ClusterID,NumPixel,AvgSimilarity, AvgR,AvgG,AvgB
1015,9,0.9870,77,118,45
1016,2,0.0000,91,122,69
1019,0,0.0000,0,0,0
1024,11,0.9797,195,109,126
1026,3,0.9962,189,122,141
1027,6,0.9930,190,145,150
1031,0,0.0000,0,0,0
1032,0,0.0000,0,0,0
1033,0,0.0000,0,0,0
1034,13,0.9800,209,201,208
1035,2,0.9995,204,128,145
1036,21,0.9823,189,146,144
1037,4126,0.9830,112,157,69
1038,0,0.0000,0,0,0
1039,0,0.0000,0,0,0
1040,0,0.0000,0,0,0
1041,7,0.4904,155,177,153
1042,6,0.3912,179,199,181
1043,3,1.0000,200,142,159
1044,11,0.8876,202,133,151
1045,5,0.9915,201,116,133
1046,10,0.9761,187,84,100
1047,6,0.9942,175,110,118
1048,72,0.9825,87,126,49
1049,4,0.0000,101,136,75
1050,0,0.0000,0,0,0
1051,6,0.3928,133,158,123
1052,5,0.9857,192,122,136
1053,3,0.9702,177,101,113
1054,3,0.9937,165,95,103
1055,2,0.9790,196,160,159
1056,4,0.3214,98,137,65
1058,5,0.2437,117,147,98
1059,3,0.9967,190,115,122
1060,6,0.7974,181,105,110
1061,2,1.0000,176,92,103
1063,4,0.9873,170,79,92
1065,5,0.9790,156,79,84
1066,2,0.9853,157,91,92
1069,2,0.9722,206,155,168
1070,9,0.6087,163,76,84
1072,2,0.0000,186,89,105
1074,2,0.9674,158,66,77
1075,2,0.9999,158,73,82
1076,9,0.9811,153,62,71
1077,3,0.9859,141,74,68
1078,0,0.0000,0,0,0
1079,2,0.9916,115,149,88
1080,3,0.4948,127,157,106
1081,3,0.4808,145,173,132
1082,6,0.1928,164,191,152
1083,3,0.9749,203,192,201
1085,9,0.9769,156,54,68
1086,2,1.0000,136,55,62
1087,3,0.9831,143,45,59
1088,52,0.9707,113,25,32
1089,4,1.0000,121,41,35
1090,4,1.0000,125,53,43
1091,2,0.9910,164,107,98
1092,3,0.9820,178,132,125
1093,2,0.9762,184,139,132
1094,4,0.9962,194,167,164
1095,4,0.3237,160,178,133
1096,3,0.9747,149,174,121
1098,3,0.9846,198,146,158
1099,3,0.5000,201,130,131
1104,4,0.9930,190,162,158
1105,2,0.9932,115,152,84
1110,4,0.6542,128,43,49
1111,3,1.0000,130,73,56
1114,2,0.0000,173,127,116
1116,5,0.7254,120,155,94
1119,5,0.7248,187,187,188
1123,2,0.0000,157,82,84
1124,6,0.9885,121,50,52
1125,2,0.9745,117,46,54
1126,3,0.9911,124,52,56
1128,2,1.0000,127,63,46
1129,3,0.9982,140,95,75
1130,2,0.0000,157,110,95
1131,2,0.0000,168,123,111
1132,8,0.9783,175,129,127
1133,2,1.0000,188,136,135
1135,2,0.9697,144,172,114
1137,2,0.0000,138,168,119
1139,4,0.9820,201,154,163
1141,2,0.9756,173,103,103
1142,3,1.0000,135,67,67
1143,3,0.4867,124,50,56
1146,0,0.0000,0,0,0
1147,5,0.4896,133,63,72
1148,3,0.9899,139,78,83
1151,3,0.9760,138,61,54
1152,3,0.5000,140,84,65
1153,5,0.9814,146,104,85
1155,4,0.9874,179,148,143
