ClusterID,NumPixel,minSimilarity,AvgSimilarity, AvgR,AvgG,AvgB
1550,29,0.9497,0.9877,108,154,182
1551,10,0.9669,0.9933,104,152,182
1552,4,0.9820,0.9886,101,147,180
1553,2,0.9972,0.9972,103,151,182
1554,4,1.0000,1.0000,99,147,179
1555,2,0.9964,0.9964,103,149,180
1556,11,0.9623,0.9872,101,144,178
1557,3,0.9466,0.9733,99,146,170
1558,3,0.9623,0.9812,99,146,173
1559,4,0.7819,0.8277,101,139,166
1560,2,0.9670,0.9670,99,137,166
1561,3,1.0000,1.0000,99,136,166
1562,4,0.8654,0.9305,99,139,165
1563,2,1.0000,1.0000,99,140,167
1564,2,1.0000,1.0000,99,139,167
1565,2,1.0000,1.0000,99,139,165
1566,4,1.0000,1.0000,99,138,165
1567,4,0.8080,0.9165,94,139,164
1568,4,0.9134,0.9431,94,141,170
1569,4,0.9201,0.9639,92,139,167
1570,4,0.9389,0.9796,89,141,166
1571,3,0.9838,0.9878,87,140,163
1572,2,1.0000,1.0000,90,138,163
1573,3,1.0000,1.0000,90,138,166
1574,2,0.9948,0.9948,90,141,167
1575,2,0.9533,0.9533,93,139,166
1576,3,0.9064,0.9532,94,138,161
1577,2,1.0000,1.0000,97,138,159
1578,6,0.8705,0.9158,96,136,156
1579,3,0.9665,0.9676,96,132,148
1580,5,0.9948,0.9987,74,64,58
1581,4,1.0000,1.0000,76,71,68
1582,3,1.0000,1.0000,79,70,68
1583,6,0.9934,0.9981,79,75,72
1584,3,0.9779,0.9890,77,70,67
1585,6,0.9815,0.9928,79,74,72
1586,4,0.9747,0.9787,72,69,68
1587,3,0.9685,0.9843,74,85,106
1588,3,0.9642,0.9821,92,128,151
1589,2,1.0000,1.0000,92,129,154
1590,7,0.9435,0.9558,89,128,162
1591,4,0.9820,0.9925,88,129,160
1592,2,1.0000,1.0000,88,129,158
1593,2,1.0000,1.0000,87,132,165
1594,4,1.0000,1.0000,83,131,160
1595,3,1.0000,1.0000,83,132,160
1596,29,0.9391,0.9880,89,132,162
1597,10,0.9888,0.9988,92,135,164
1598,23,0.9594,0.9891,91,135,166
1599,3,1.0000,1.0000,91,135,164
1600,2,1.0000,1.0000,122,171,203
1601,3,0.9799,0.9899,111,162,190
1602,2,1.0000,1.0000,106,152,177
1603,3,0.9845,0.9922,98,145,179
1604,4,0.9140,0.9713,98,144,177
1605,2,0.8503,0.8503,100,142,170
1606,2,1.0000,1.0000,99,138,168
1607,2,1.0000,1.0000,99,137,168
1608,2,0.9745,0.9745,99,138,171
1609,2,0.9876,0.9876,97,139,171
1610,2,0.9811,0.9811,99,141,174
1611,2,0.8585,0.8585,98,141,171
1612,9,0.9885,0.9986,94,140,174
1613,3,0.9878,0.9939,93,139,173
1614,18,0.9539,0.9816,93,142,176
1615,10,0.9712,0.9837,89,141,174
1616,5,0.9899,0.9934,90,138,170
1617,2,0.9759,0.9759,90,143,170
1618,11,0.9270,0.9776,93,139,173
1619,3,0.9591,0.9796,94,139,170
1620,2,1.0000,1.0000,95,139,167
1621,2,1.0000,1.0000,95,130,148
1622,152,0.9754,0.9912,76,75,76
1623,5,0.9940,0.9945,72,65,63
1624,4,0.9949,0.9974,78,72,70
1625,6,0.9933,0.9975,87,74,74
1626,2,1.0000,1.0000,81,111,134
1627,6,0.9796,0.9918,91,129,161
1628,4,1.0000,1.0000,84,129,163
1629,28,0.9652,0.9937,83,129,164
1630,20,0.9870,0.9958,86,132,164
1631,19,0.9868,0.9951,87,132,164
1632,18,0.9751,0.9926,88,132,165
1633,5,0.9938,0.9984,87,131,159
1634,4,0.9898,0.9934,83,133,164
1635,4,0.9615,0.9872,86,134,167
1636,13,0.9715,0.9935,110,154,182
1637,11,0.9696,0.9871,104,152,179
1638,10,0.9504,0.9829,102,150,174
1639,6,0.9802,0.9899,101,148,174
